canonical_field,data_type,usage,NC_source_column,CO_AZ_CA_source_column,notes
facility_id,uuid,key,(generated),(generated),"Generated UUID, primary key"
source_state,text,filter,STATE,state,
source_file,text,meta,SOURCE_FILE,data_source (sub-detail),
data_source,text,filter,SOURCE_FILE,data_source,"directory|cms, normalize casing"
facility_type,text,filter,FACILITY_TYPE,facility_type,Nursing Home / Home Health / Hospice / Rehab / others
name,text,embed,NAME,facility_name,
legal_business_name,text,meta,LEGAL_BUSINESS_NAME,legal_business_name,"AZ/CA only, null for CO"
ccn,text,meta,CCN,ccn,"CMS cert number, null for directory rows"
license_number,text,meta,LICENSE_NUMBER,(none - not present),NC only
address,text,embed,ADDRESS,address_line1 + address_line2,
city,text,filter,CITY,city,
county,text,filter,COUNTY,county,
zip,text,filter,ZIP,zip_code,
phone,text,meta,CONTACT_INFO,phone,
latitude,numeric,filter,LATITUDE,latitude,only populated for CMS Nursing Home + some directories - see has_geo
longitude,numeric,filter,LONGITUDE,longitude,same caveat as latitude
ownership_type,text,filter,OWNERSHIP_TYPE,ownership_type,
certification_date,date,meta,CERTIFICATION_DATE,certification_date,CMS rows only
cms_region,text,meta,CMS_REGION,cms_region,CMS rows only
bed_count,integer,filter,BED_COUNT / CAPACITY,bed_count,AZ directory has 0% fill - see notes
overall_rating,smallint,filter,OVERALL_RATING,overall_rating,"CMS rows only, 1-5 stars"
health_inspection_rating,smallint,filter,HEALTH_INSPECTION_STAR_RATING,nh_health_inspection_star_rating,Nursing Home CMS only
staffing_rating,smallint,filter,STAFFING_STAR_RATING,nh_staffing_star_rating,Nursing Home CMS only
quality_measure_rating,smallint,filter,QUALITY_MEASURE_STAR_RATING,nh_quality_measure_star_rating,Nursing Home CMS only
pt_service,boolean,filter,PT_SERVICE (dir) / PROVIDES_PHYSICAL_THERAPY (cms),hh_provides_physical_therapy,"dual-source per state, see notes"
ot_service,boolean,filter,OT_SERVICE / PROVIDES_OCCUPATIONAL_THERAPY,hh_provides_occupational_therapy,
speech_service,boolean,filter,SPEECH_SERVICE / PROVIDES_SPEECH_THERAPY,hh_provides_speech_therapy,NC directory has 91% fill; CO/AZ/CA directory has 0% fill
iv_service,boolean,filter,IV_SERVICE,(none),NC only
dme_service,boolean,filter,DME_SERVICE,(none),NC only
hospice_service,boolean,filter,HOSPICE_SERVICE,(none),NC only
social_work_service,boolean,filter,SOCIAL_WORK_SERVICE / PROVIDES_MEDICAL_SOCIAL_SERVICES,hh_provides_medical_social_services,
home_health_aide_service,boolean,filter,AIDE_SERVICE / PROVIDES_HOME_HEALTH_AIDES,hh_provides_home_health_aides,
rn_hours_per_resident_day,numeric,filter+agg,REGISTERED_NURSE_RN_HOURS_PER_RESIDENT_DAY,nh_rn_hours_per_resident_day,"Nursing Home CMS only, ~90-96% fill"
